Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
D200preB_S12	8439688	8439688	164.0	0.0	0.077223							
D200preB_S12_R1_001						0.31	18.112771562227366	55.0	38.0	9.090909090909092	5618565.0	
D200preB_S12_R2_001							17.496843842182457	55.0	38.0	9.090909090909092	5618565.0	
D200preB_S12_bulkATAC.err												95.4
D200preB_S12_trim1							16.951662024708185	55.0	37.94425217758988	9.090909090909092	5389789.0	
D200preB_S12_trim2							16.471615707638747	55.0	37.92295857964013	9.090909090909092	5389789.0	
D201preB_S24	15096824	14432540	160.0	0.0	0.106865							
D201preB_S24_R1_001						0.3	19.72623669196595	53.0	38.0	9.090909090909092	7864183.0	
D201preB_S24_R2_001							18.94198603220974	53.0	38.0	9.090909090909092	7864183.0	
D201preB_S24_bulkATAC.err												95.6
D201preB_S24_trim1							18.654659657786937	53.0	37.95810522796053	9.090909090909092	7548412.0	
D201preB_S24_trim2							17.850408922530065	53.0	37.93379879105698	9.090909090909092	7548412.0	
D202preB_S36	23750460	23182180	154.0	0.0	0.148019							
D202preB_S36_R1_001						0.28	30.53035080870366	55.0	38.0	9.090909090909092	12358858.0	
D202preB_S36_R2_001							29.194521058934228	55.0	38.0	9.090909090909092	12358858.0	
D202preB_S36_bulkATAC.err												97.61
D202preB_S36_trim1							28.924812104189684	55.0	37.94912031177501	9.090909090909092	11875230.0	
D202preB_S36_trim2							27.925632452892444	55.0	37.933270345079634	9.090909090909092	11875230.0	
D2206-4_S14	8400679	8400679	194.0	0.0	0.076662							
D2206-4_S14_R1_001						0.31	17.397900136498777	56.0	38.0	9.090909090909092	6827497.0	
D2206-4_S14_R2_001							16.660598804083506	56.0	38.0	9.090909090909092	6827497.0	
D2206-4_S14_bulkATAC.err												77.77
D2206-4_S14_trim1							16.264269716912708	55.0	37.952999082887416	9.090909090909092	6573893.0	
D2206-4_S14_trim2							15.730952301139382	55.0	37.94120439745521	9.090909090909092	6573893.0	
preB_ATAC_D210_S20	16326944	16326944	226.0	0.0	0.217806							
preB_ATAC_D210_S20_R1_001						0.48	36.2276882398298	57.0	38.0	9.090909090909092	12752781.0	
preB_ATAC_D210_S20_R2_001							33.58082131701036	57.0	38.0	9.090909090909092	12752781.0	
preB_ATAC_D210_S20_bulkATAC.err												97.15
preB_ATAC_D210_S20_trim1							34.12649182131493	57.0	37.934133328522634	9.090909090909092	12028739.0	
preB_ATAC_D210_S20_trim2							31.75915723105676	57.0	37.899909541640234	9.090909090909092	12028739.0	
preB_ATAC_D211_S52	15610610	14614402	190.0	0.0	0.067593							
preB_ATAC_D211_S52_R1_001						0.29	21.198523908033877	57.0	38.0	9.090909090909092	8157230.0	
preB_ATAC_D211_S52_R2_001							20.51056731374858	57.0	38.0	9.090909090909092	8157230.0	
preB_ATAC_D211_S52_bulkATAC.err												93.62
preB_ATAC_D211_S52_trim1							19.790773335278658	57.0	37.93354916944309	9.090909090909092	7805305.0	
preB_ATAC_D211_S52_trim2							18.941280488382773	57.0	37.900902911545415	9.090909090909092	7805305.0	
preB_ATAC_D212_S40	13336447	13336447	208.0	0.0	0.084578							
preB_ATAC_D212_S40_R1_001						0.36	26.85883934507325	59.0	38.0	9.090909090909092	9009548.0	
preB_ATAC_D212_S40_R2_001							25.412521627674536	59.0	38.0	9.090909090909092	9009548.0	
preB_ATAC_D212_S40_bulkATAC.err												93.85
preB_ATAC_D212_S40_trim1							25.493130199145114	58.0	37.94946751107379	9.090909090909092	8617644.0	
preB_ATAC_D212_S40_trim2							24.294390242538583	58.0	37.92997540859196	9.090909090909092	8617644.0	
preB_ATAC_D213_S28	6494290	6494290	200.0	0.0	0.042139							
preB_ATAC_D213_S28_R1_001						0.32	13.956251647102675	57.0	38.0	9.090909090909092	4204047.0	
preB_ATAC_D213_S28_R2_001							13.251046812296309	56.0	38.0	9.090909090909092	4204047.0	
preB_ATAC_D213_S28_bulkATAC.err												94.23
preB_ATAC_D213_S28_trim1							12.85024518864563	56.0	37.93025795741891	9.090909090909092	3999381.0	
preB_ATAC_D213_S28_trim2							12.346940456921644	56.0	37.91832336054004	9.090909090909092	3999381.0	
preB_ATAC_D214_S16	6948046	6948046	203.0	0.0	0.094233							
preB_ATAC_D214_S16_R1_001						0.31	23.18133329432952	56.0	38.0	9.090909090909092	4843566.0	
preB_ATAC_D214_S16_R2_001							22.363614141956262	56.0	38.0	9.090909090909092	4843566.0	
preB_ATAC_D214_S16_bulkATAC.err												95.25
preB_ATAC_D214_S16_trim1							21.988619089457686	56.0	37.94050444318266	9.090909090909092	4645994.0	
preB_ATAC_D214_S16_trim2							21.40509098607197	56.0	37.92690390904508	9.090909090909092	4645994.0	
preB_ATAC_D215_S4	6934341	6934341	199.0	0.0	0.052374							
preB_ATAC_D215_S4_R1_001						0.43	17.132238434967135	57.0	38.0	9.090909090909092	4526299.0	
preB_ATAC_D215_S4_R2_001							16.323683486787985	57.0	38.0	9.090909090909092	4526299.0	
preB_ATAC_D215_S4_bulkATAC.err												96.5
preB_ATAC_D215_S4_trim1							16.14715250254703	57.0	37.94767979946253	9.090909090909092	4306826.0	
preB_ATAC_D215_S4_trim2							15.430327392939745	57.0	37.921404997555044	9.090909090909092	4306826.0	
