Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
D200proB_S11_R1_001	7738390.0	7432586.0	96.05	211377.0	2.73	70780.0	0.91	23647.0	0.31
D201proB_S23_R1_001	11145416.0	10750694.0	96.46	284354.0	2.55	81758.0	0.73	28610.0	0.26
D202proB_S35_R1_001	11448555.0	11028736.0	96.33	296806.0	2.59	92464.0	0.81	30549.0	0.27
D2206-3_S13_R1_001	7437121.0	7165681.0	96.35	181389.0	2.44	70284.0	0.95	19767.0	0.27
proB_ATAC_D210_S21_R1_001	6293029.0	5951716.0	94.58	245117.0	3.9	66778.0	1.06	29418.0	0.47
proB_ATAC_D211_S51_R1_001	10797552.0	10365929.0	96.0	290807.0	2.69	105092.0	0.97	35724.0	0.33
proB_ATAC_D212_S39_R1_001	9124245.0	8730383.0	95.68	275615.0	3.02	85861.0	0.94	32386.0	0.35
proB_ATAC_D213_S27_R1_001	6442116.0	6163418.0	95.67	198647.0	3.08	57874.0	0.9	22177.0	0.34
proB_ATAC_D214_S15_R1_001	5436735.0	5215923.0	95.94	150292.0	2.76	52990.0	0.97	17530.0	0.32
proB_ATAC_D215_S3_R1_001	7375672.0	7082841.0	96.03	204093.0	2.77	64410.0	0.87	24328.0	0.33
