Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D200proB_S11_R1_001	D200proB_S11_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7738390.0	0.0	38.0	54.0	79.81951050402084	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200proB_S11_R2_001	D200proB_S11_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7738390.0	0.0	38.0	54.0	80.70203456902101	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200proB_S11_trim1	D200proB_S11_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7432586.0	0.0	36-38	54.0	80.98669561000652	37.951184823155764	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D200proB_S11_trim2	D200proB_S11_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7432586.0	0.0	36-38	54.0	81.74684541750575	37.93524958877031	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D201proB_S23_R1_001	D201proB_S23_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11145416.0	0.0	38.0	51.0	80.37145240674855	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D201proB_S23_R2_001	D201proB_S23_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11145416.0	0.0	38.0	51.0	81.30367774953594	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D201proB_S23_trim1	D201proB_S23_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10750694.0	0.0	36-38	51.0	81.35686859232203	37.95816911912849	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D201proB_S23_trim2	D201proB_S23_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10750694.0	0.0	36-38	51.0	82.28626234975503	37.937968376739214	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202proB_S35_R1_001	D202proB_S35_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11448555.0	0.0	38.0	54.0	71.17681425042602	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D202proB_S35_R2_001	D202proB_S35_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11448555.0	0.0	38.0	54.0	72.4158093544186	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D202proB_S35_trim1	D202proB_S35_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11028736.0	0.0	36-38	54.0	72.61640125767617	37.95534492801351	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202proB_S35_trim2	D202proB_S35_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11028736.0	0.0	36-38	54.0	73.64240403417351	37.93816390201017	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D2206-3_S13_R1_001	D2206-3_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7437121.0	0.0	38.0	55.0	82.89314138183835	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
