Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	overall_alignment_rate
D200proB_S11_bulkATAC.err	7432586	7432586	192235	6158977	1081374	97.41
D201proB_S23_bulkATAC.err	10750694	10750694	242778	8687327	1820589	97.74
D202proB_S35_bulkATAC.err	11028736	11028736	298935	9124692	1605109	97.29
D2206-3_S13_bulkATAC.err	7165681	7165681	606942	5578927	979812	91.53
proB_ATAC_D210_S21_bulkATAC.err	5951716	5951716	104973	4950489	896254	98.24
proB_ATAC_D211_S51_bulkATAC.err	10365929	10365929	648129	8172143	1545657	93.75
proB_ATAC_D212_S39_bulkATAC.err	8730383	8730383	434812	7124590	1170981	95.02
proB_ATAC_D213_S27_bulkATAC.err	6163418	6163418	485598	4801532	876288	92.12
proB_ATAC_D214_S15_bulkATAC.err	5215923	5215923	169774	4176602	869547	96.75
proB_ATAC_D215_S3_bulkATAC.err	7082841	7082841	234285	5686420	1162136	96.69
