Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	MACS2_mqc-generalstats-macs2-d	MACS2_mqc-generalstats-macs2-treatment_redundant_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate
SRR8247848	123565638	122110426	228.0	0.0	0.758394							
SRR8247848_1						1.46	74.81537848091718	53.0	39.41244021848116	20.0	67425311.0	
SRR8247848_2							70.3866061094179	54.0	39.41726865746307	20.0	67425311.0	
SRR8247848_bulkATAC.err												98.82
SRR8247848_trim1							72.68339593558485	53.0	39.38113576526833	20.0	61782819.0	
SRR8247848_trim2							69.19984501081227	53.0	39.341244626600805	20.0	61782819.0	
SRR8247849	13537640	13537640	234.0	0.0	0.807423							
SRR8247849_1						1.45	78.21500095720154	54.0	39.41549347113812	20.0	49669683.0	
SRR8247849_2							73.56508329883842	54.0	39.4199980901831	20.0	49669683.0	
SRR8247849_bulkATAC.err												97.08
SRR8247849_trim1							76.27790748804394	53.0	39.38317576502325	20.0	45525969.0	
SRR8247849_trim2							72.87473556713822	53.0	39.34449876289289	20.0	45525969.0	
SRR8247850	89283590	80100958	208.0	0.0	0.741232							
SRR8247850_1						1.82	72.31507692875263	51.0	39.39551659052759	30.0	48260370.0	
SRR8247850_2							69.23839309303622	51.0	39.3998840663675	30.0	48260370.0	
SRR8247850_bulkATAC.err												89.72
SRR8247850_trim1							69.61175288477659	50.0	39.38529897823329	20.0	44641795.0	
SRR8247850_trim2							67.52338533970214	50.0	39.363794757804875	20.0	44641795.0	
SRR8247851	23438948	23438948	213.0	0.0	0.736211							
SRR8247851_1						1.56	73.30526819612655	53.0	39.39952562766424	20.0	61255680.0	
SRR8247851_2							69.90210889661736	53.0	39.403390803922186	20.0	61255680.0	
SRR8247851_bulkATAC.err												95.68
SRR8247851_trim1							70.8316494701378	53.0	39.37384436137809	20.0	56586353.0	
SRR8247851_trim2							68.64018141265929	53.0	39.35068241630628	20.0	56586353.0	
SRR8247852	12801594	12801594	227.0	0.0	0.768479							
SRR8247852_1						1.53	75.12628751294422	54.0	39.405044762670705	20.0	38161597.0	
SRR8247852_2							71.68392232376225	54.0	39.40837428789995	20.0	38161597.0	
SRR8247852_bulkATAC.err												97.46
SRR8247852_trim1							72.94292198425737	54.0	39.37261989955188	20.0	35120419.0	
SRR8247852_trim2							70.64791389043059	54.0	39.345701741200756	20.0	35120419.0	
SRR8247853	81722912	79181474	213.0	0.0	0.656693							
SRR8247853_1						1.14	67.36670452728858	48.0	39.46543330895312	20.0	43882592.0	
SRR8247853_2							64.19447042399511	48.0	39.46884894584167	20.0	43882592.0	
SRR8247853_bulkATAC.err												96.89
SRR8247853_trim1							65.10889868334323	48.0	39.43735786115894	20.0	40861456.0	
SRR8247853_trim2							62.433114526065026	48.0	39.404738343146654	20.0	40861456.0	
