Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
D200inmature_S13_R1_001	D200inmature_S13_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10673960.0	0.0	38.0	52.0	74.12536850732806	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200inmature_S13_R2_001	D200inmature_S13_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10673960.0	0.0	38.0	52.0	75.29234708564593	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D200inmature_S13_trim1	D200inmature_S13_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10213653.0	0.0	36-38	52.0	75.33085511657204	37.95800268522927	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D200inmature_S13_trim2	D200inmature_S13_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10213653.0	0.0	36-38	52.0	76.51928918558582	37.931673711648514	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202inmature_S37_R1_001	D202inmature_S37_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11200101.0	0.0	38.0	52.0	74.82344477850371	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D202inmature_S37_R2_001	D202inmature_S37_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11200101.0	0.0	38.0	52.0	75.53751953040533	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
D202inmature_S37_trim1	D202inmature_S37_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10793136.0	0.0	36-38	52.0	76.23519599198079	37.94869127934643	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D202inmature_S37_trim2	D202inmature_S37_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10793136.0	0.0	36-38	52.0	76.87840447471072	37.92675789501772	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
D2206-5_S15_R1_001	D2206-5_S15_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8183459.0	0.0	38.0	54.0	79.97424695217362	38.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
D2206-5_S15_R2_001	D2206-5_S15_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8183459.0	0.0	38.0	54.0	81.0667102217862	38.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
