Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CLP_ATAC_D210_S7_R1_001	CLP_ATAC_D210_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7197561.0	0.0	38.0	52.0	81.47664596797838	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CLP_ATAC_D210_S7_R2_001	CLP_ATAC_D210_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7197561.0	0.0	38.0	52.0	82.54411850806018	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CLP_ATAC_D210_S7_trim1	CLP_ATAC_D210_S7_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6847403.0	0.0	36-38	52.0	82.65161945174827	37.94267724566525	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
CLP_ATAC_D210_S7_trim2	CLP_ATAC_D210_S7_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6847403.0	0.0	36-38	52.0	83.60558337842211	37.91250084155993	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
CLP_ATAC_D211_S50_R1_001	CLP_ATAC_D211_S50_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8172267.0	0.0	38.0	54.0	79.17281664053498	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CLP_ATAC_D211_S50_R2_001	CLP_ATAC_D211_S50_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8172267.0	0.0	38.0	54.0	80.34391991965532	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CLP_ATAC_D211_S50_trim1	CLP_ATAC_D211_S50_trim1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7838228.0	0.0	36-38	54.0	80.1207444573783	37.950201882364226	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
CLP_ATAC_D211_S50_trim2	CLP_ATAC_D211_S50_trim2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7838228.0	0.0	36-38	54.0	81.0321043789608	37.93490862985869	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
CLP_ATAC_D212_S38_R1_001	CLP_ATAC_D212_S38_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7346646.0	0.0	38.0	55.0	80.2820818780384	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
CLP_ATAC_D212_S38_R2_001	CLP_ATAC_D212_S38_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7346646.0	0.0	38.0	55.0	81.30192020764676	38.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
